,sms_message,label
3348,No problem baby. Is this is a good time to talk? I called and left a message.,0
212,Home so we can always chat,0
2109,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",1
3463,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,1
2888,K I'll take care of it,0
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
4391,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0
4738,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",0
4136,No need to say anything to me. I know i am an outsider,0
4659,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,0
2684,I'm okay. Chasing the dream. What's good. What are you doing next.,0
1197,What he said is not the matter. My mind saying some other matter is there.,0
3422,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,1
787,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,0
1929,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1
3004,I will see in half an hour,0
3362,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,0
3232,No plm i will come da. On the way.,0
1793,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",1
4222,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",0
4210,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,0
5294,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,1
194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0
1796,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",0
3092,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,1
1976,Delhi and chennai still silent.,0
107,"Aight, I'll hit you up when I get some cash",0
2906,"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",0
2784,"Just arrived, see you in a couple days &lt;3",0
3312,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,0
2049,So dont use hook up any how,0
4478,Oh :-)only 4 outside players allowed to play know,0
663,Sorry me going home first... Daddy come fetch ü later...,0
1577,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,0
4766,if you text on your way to cup stop that should work. And that should be BUS,0
4484,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,0
5226,Prabha..i'm soryda..realy..frm heart i'm sory,0
42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1
4235,Now only i reached home. . . I am very tired now. . I will come tomorro,0
2197,"Not much, just some textin'. How bout you?",0
4359,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",1
4368,I like dis sweater fr mango but no more my size already so irritating.,0
2198,Bring it if you got it,0
3155,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1
4748,"When you just put in the + sign, choose my number and the pin will show. Right?",0
576,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1
1369,Alright. I'm out--have a good night!,0
1615,Me sef dey laugh you. Meanwhile how's my darling anjie!,0
3681,I cant pick the phone right now. Pls send a message,0
3049,Die... Now i have e toot fringe again...,0
3340,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,0
4472,Wa... U so efficient... Gee... Thanx...,0
4941,Ü go home liao? Ask dad to pick me up at 6...,0
71,Finished class where are you.,0
2938,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,0
366,Well i know Z will take care of me. So no worries.,0
772,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,0
607,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,1
4853,I liked your new house,0
2219,Nice talking to you! please dont forget my pix :) i want to see all of you...,0
3551,"Dad wanted to talk about the apartment so I got a late start, omw now",0
2654,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0
2742,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1
1267,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.",0
2482,K.:)do it at evening da:)urgent:),0
3413,No she didnt. I will search online and let you know.,0
2964,You dont know you jabo me abi.,0
5070,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),0
3189,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",1
2353,Thats cool. How was your day?,0
4880,Yeah just open chat and click friend lists. Then make the list. Easy as pie,0
4296,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1
1228,So ü'll be submitting da project tmr rite?,0
4671,"I didnt get ur full msg..sometext is missing, send it again",0
2257,"Just checked out, heading out to drop off my stuff now",0
2705,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,1
1486,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",0
2024,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,0
1997,Lol boo I was hoping for a laugh,0
4629,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,1
1349,"Nothing much, chillin at home. Any super bowl plan?",0
3183,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",0
3832,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,0
2223,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,0
5289,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,0
1626,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,0
3021,I thank you so much for all you do with selflessness. I love you plenty.,0
4732,K:)eng rocking in ashes:),0
3958,Where is that one day training:-),0
793,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,0
5461,Ok i thk i got it. Then u wan me 2 come now or wat?,0
3753,Why are u up so early?,0
3624,"Damn, poor zac doesn't stand a chance",0
1160,Yun buying... But school got offer 2000 plus only...,0
3575,Yeah sure I'll leave in a min,0
1935,Hope you are having a great day.,0
998,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,0
3057,Webpage s not available!,0
5334,"Garbage bags, eggs, jam, bread, hannaford wheat chex",0
3168,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",0
420,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,1
4267,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,0
2030,Thanx but my birthday is over already.,0
1273,Ok...,0
1328,Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1
3970,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,0
3862,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,1
3016, &lt;#&gt;  mins but i had to stop somewhere first.,0
4775,U repeat e instructions again. Wat's e road name of ur house?,0
2658,Dai  &lt;#&gt;  naal eruku.,0
5527,"Total disappointment, when I texted you was the craziest shit got :(",0
4970,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,0
36,"Oops, I'll let you know when my roommate's done",0
1635,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1
2292,Remind me how to get there and I shall do so,0
3522,Hey... are you going to quit soon? Xuhui and i working till end of the month ,0
3975,Roger that. We‘re probably going to rem in about 20,0
6,Even my brother is not like to speak with me. They treat me like aids patent.,0
4380,How are you. Just checking up on you,0
2407,"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",0
5318,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",0
5195,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,0
2305,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,0
473,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",0
517,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1
4930,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1
3623,Goin to workout lor... Muz lose e fats... ,0
1334,"Oh... Icic... K lor, den meet other day...",0
2079,85233 FREE>Ringtone!Reply REAL,1
2757,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,0
3805,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",0
3951,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,0
4268,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0
2585,Hi happy birthday. Hi hi hi hi hi hi hi,0
2655,Its sarcasm.. .nt scarcasim,0
3473,"I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there.",0
1702,Can come my room but cannot come my house cos my house still messy... Haha...,0
334,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,0
4715,Oops i thk i dun haf enuff... I go check then tell ü..,0
3636,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0
250,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1
5495,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",0
2541,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",0
1388,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,0
43,WHO ARE YOU SEEING?,0
1265,I will see in half an hour,0
3324,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",0
640,I had askd u a question some hours before. Its answer,0
3698,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,1
1819,Am i that much dirty fellow?,0
2825,No need to buy lunch for me.. I eat maggi mee..,0
208,"Aight yo, dats straight dogg",0
3996,R u in this continent?,0
568,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",0
1316,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",0
1211,Guessin you ain't gonna be here before 9?,0
2161,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,0
2974,Happy New Year Princess!,0
5496,Yes... I trust u to buy new stuff ASAP so I can try it out,0
939,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",1
251,Ranjith cal drpd Deeraj and deepak 5min hold,0
2417,"Could you not read me, my Love ? I answered you",0
2446,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",0
1589,At 4. Let's go to bill millers,0
2378,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,1
3166,Cheers for the card ... Is it that time of year already?,0
2095,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1
4346,Enjoy urself tmr...,0
486,If we win its really no 1 side for long time.,0
3152,Yeah but which is worse for i,0
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
3671,Ok thanx... Take care then...,0
1306,Designation is software developer and may be she get chennai:),0
2764,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",0
991,26th OF JULY,0
3979,Reason is if the team budget is available at last they buy the unsold players for at base rate..,0
871,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",0
3484,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",0
800,Gimme a few was  &lt;#&gt;  minutes ago,0
4782,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,0
4643,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,1
2567,You in your room? I need a few,0
2750,You said not now. No problem. When you can. Let me know.,0
4569,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,0
4410,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",1
5107,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,0
2184,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",0
118,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0
4422,Still at west coast... Haiz... Ü'll take forever to come back...,0
906,Hey what's up charles sorry about the late reply.,0
5387,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,0
3630,Should I head straight there or what,0
1390,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0
4363,"I can't right this second, gotta hit people up first",0
3796,Also remember the beads don't come off. Ever.,0
390,Yup having my lunch buffet now.. U eat already?,0
773,"idc get over here, you are not weaseling your way out of this shit twice in a row",0
3112,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",0
4490,The new deus ex game comin early next yr,0
2027,"Nah man, my car is meant to be crammed full of people",0
3545,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,0
2748,Ya had just now.onion roast.,0
5431,If I was I wasn't paying attention,0
2346,"Hi this is yijue, can i meet u at 11 tmr?",0
5541,Yeah it's jus rite...,0
1787,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0
889,You unbelievable faglord,0
1425,Yes.. now only saw your message..,0
342,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0
589,Ya srsly better than yi tho,0
5052,With my sis lor... We juz watched italian job.,0
2840,"Easy mate, * guess the quick drink was bit ambitious.",0
5311,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,0
863,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",0
609,Neva mind it's ok..,0
4030,"[…] anyway, many good evenings to u! s",0
2544,Package all your programs well,0
1505,Oh my God. I'm almost home,0
1155,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,0
4105,Do u hav any frnd by name ashwini in ur college?,0
3046,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",0
399,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",0
1778,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,1
694,Will purchase d stuff today and mail to you. Do you have a po box number?,0
3607,"That means you got an A in epi, she.s fine. She.s here now.",0
1838,And how's your husband.,0
1468,I wont touch you with out your permission.,0
1789,Arun can u transfr me d amt,0
3333,Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,0
3156,Ok...,0
2102,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,0
2471,Eat at old airport road... But now 630 oredi... Got a lot of pple...,0
1506,Total video converter free download type this in google search:),0
3290,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,1
4320,Are you still playing with gautham?,0
978,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,0
3488,Change windows logoff sound..,0
1209,Also maaaan are you missing out,0
1749,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),0
5361,Yep get with the program. You're slacking.,0
4756,U wan 2 haf lunch i'm in da canteen now.,0
1598,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,1
2831,Howz that persons story,0
3676,Whos this am in class:-),0
3389,Same as kallis dismissial in 2nd test:-).,0
4599,I'm stuck in da middle of da row on da right hand side of da lt... ,0
4864,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,1
2366,Ok try to do week end course in coimbatore.,0
4816,Ü no home work to do meh... ,0
3096,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,0
5190,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,1
614,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,0
4485,Shopping? Eh ger i toking abt syd leh...Haha,0
381,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",0
4641,Do you hide anythiing or keeping distance from me,0
4773,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",0
5178,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,1
2067,Then. You are eldest know.,0
389,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,1
1722,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,0
443,Oic... I saw him too but i tot he din c me... I found a group liao...,0
3812,Excellent! Wish we were together right now!,0
4003,Did you get any gift? This year i didnt get anything. So bad,0
2377,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,0
5349,I'm home...,0
5305,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,0
4905,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",0
3953,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ,0
4582,Not course. Only maths one day one chapter with in one month we can finish.,0
3498,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",0
3775,Ok... But bag again..,0
533,Gudnite....tc...practice going on,0
3248,* You gonna ring this weekend or wot?,0
2457,Onum ela pa. Normal than.,0
1040,They just talking thats it de. They wont any other.,0
630,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,1
4206,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,1
1490,Ok i juz receive..,0
258,Where are you lover ? I need you ...,0
198,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0
3434,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",0
962,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1
2499,"I know where the  &lt;#&gt;  is, I'll be there around 5",0
3761,We'll join the  &lt;#&gt;  bus,0
4048,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",1
3651,"We are hoping to get away by 7, from Langport. You still up for town tonight?",0
2441,"Great. I'm in church now, will holla when i get out",0
690,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1
4749,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,0
647,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0
4376,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,1
4609,We live in the next  &lt;#&gt; mins,0
852,"I am real, baby! I want to bring out your inner tigress...",0
824,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,1
5374,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,0
3855,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,0
3403,"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",0
1471,Take some small dose tablet for fever,0
2560,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,0
2261,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1
3318,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",0
2566,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,0
4295,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,1
1443,"Its ok., i just askd did u knw tht no?",0
338,Just sleeping..and surfing,0
3408,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",0
1955,Good night. Am going to sleep.,0
975,Eh u send wrongly lar...,0
4656,Our Prasanth ettans mother passed away last night. Just pray for her and family.,0
4392,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,0
1649,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),0
1725,There bold 2  &lt;#&gt; . Is that yours,0
5303,"I can. But it will tell quite long, cos i haven't finish my film yet...",0
3693,No i am not having not any movies in my laptop,0
1713,o turns out i had stereo love on mi phone under the unknown album.,0
1880,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,1
5480,Have you seen who's back at Holby?!,0
603,Speaking of does he have any cash yet?,0
2679,Was playng 9 doors game and gt racing on phone lol,0
2084,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",0
770,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,0
3131,Ok. But i finish at 6.,0
3927,I havent add ü yet right.. ,0
2998,Don know..he is watching film in computer..,0
3006,Ew are you one of them?,0
1897,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,0
4340,Just got outta class gonna go gym.,0
404,None of that's happening til you get here though,0
5096,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,0
5091,No no. I will check all rooms befor activities,0
5403,So gd got free ice cream... I oso wan...,0
1966,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,0
196,Gud mrng dear hav a nice day,0
2803,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,0
3400,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",0
2674,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",0
1433,Thanks for ve lovely wisheds. You rock,0
774,I wil be there with in  &lt;#&gt;  minutes. Got any space,0
371,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",0
1205,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,1
911,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,0
3420,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,1
1134,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
434,Booked ticket for pongal?,0
1817,Are you going to write ccna exam this week??,0
3721,"Yeah why not, is the gang all ready",0
