,comment,label
8506,Who is Kevin hart,0
93,Check out pivot animations in my channel﻿,1
3936,Without the help of 👆👆👆my life would have been complete mess.. with his help I could transfer my btc successfully,1
10441,@ledzep08es funny how you not mentionning olympics... because you were awful aha,0
9629,"40,000 dollar fine if I ain&#39;t just the male",0
8951,"For God so loved the world, that He gave His only Son, that whoever believes in Him should not perish but have eternal life.&quot;<br>John 3:16<br> &quot;Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.&quot; <br>John 3:3<br><br>Everyone please know that Jesus is the son of God and no one who rejects this truth and chooses not to believe this will enter God&#39;s kingdom. Jesus is returning soon. Please seek HIM and get ready 🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾",0
204,http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,1
4644,_i will never forget you for the 25btc you give me into my wallet_,1
2215,"Trading with Josef Dennis signals completely altered my perspective on bitcoin because, despite everyone's complaints and fears, I was able to expand my portfolio from 6 BTC to 27 BTC in just 7 weeks with active trading…",1
4091,"👆👆👆 for support, membership and investment advise 🤝🤝",1
2982,"👆👆No Doubt you are the man. I feel lucky to get the quality and knowledgeable crypto you provide. It’s like my morning coffee, I cannot thank you enough and know that I promote your work any which way I can. Please do me a favor and keep up the good work. I will love to put more effort on fundamentals analysis on various projects. Definitely keep up the biblical humors and disciple like introductions in your goods work when you can, I thoroughly enjoyed it in one of my recent month watering profit. I can’t stop thanking you and it was extremely entertaining because I consider you to be the best crypto expert ever.",1
4391,☝️☝️ seeing your name being mentioned everywhere makes me happy. I feel good and great knowing that I'm not the only person you helped. Thank you so much. God bless you 💎...,1
8884,Oh wow they replaced the original with an HD version. I wonder when they did that,0
6631,you for real? damn thats good thanks for keeping me up for thus hehe,0
9045,I still listen it even in 2022 :),0
8855,Who listen to this icon on 2022 !!,0
7211,"Day 1:✅My gosh shit was hard, but i managed, until my legs gave up on butterfly kicks.",0
6043,Best guy ever just next to 5-minutes crafts,0
8493,"I remember for half a decade he just kept blowing up more and more and everyone loved him.  Then they were like, &quot;Oh, you can&#39;t host award show, &#39;cuz bad joke,&quot; and America was like, &quot;But....we all laughed at that.&quot;<br>That&#39;s how I knew Twitter was OP Enemy lol",0
5143,"T.h.a.n.k.s f.o.r w.a.t.c.h.i.n.g
 F..o.r c.r.y.p.t.O g.u.I.d.a.n.c.e.
 +1...-8...-0...-3...-5...-6...-6...-0...-6...-9...-7.
 W?A?T?S?A?P?##*",1
10194,THE BIG EGGS TEAM,0
1603,"Good one, being successful in bitcoin requires having a good account manager, investing without an expert or mentorship blows your entire account off, talking out of experience",1
11436,"The one that barks the loudest, is usually the one that cries FIRST.",0
2583,"Great video! I made my first million pounds from ADA, Coachjasonhart onTelegram handled my investments. Crypto is amazing",1
1023,bwahahahaha you jagoffs deserve monthly mutant shots..,1
1943,"I Thank you for being there Carbanacfix🎡com when I wanted you to..... I was lost in this new world that I was hassled to start with ....you not only guided me along the way but you also showed me the proper way....whatever little I have been able to achieve in life is because of you today ..... I want to thank you for being there and showing me the proper way of doing thing for me you are my best guide as you truly showed me the way to life....once again , I would like to tell you a heartfelt thanks for being there",1
8285,I think Kevin&#39;s dad was black Matthew McConaughey 😂😂😂,0
3248,NO REGRETS NO LOST EVER SINCE I STARTED TRADING WITH THIS GUYS I AM SO HAPPY WITH YOUR SINCERITY 🤞🤞,1
10854,That guy&#39;s their spy chief!? He&#39;s almost as incognitive as Joe Biden,0
8853,the most beautiful woman in the world 😘❤️😍😍,0
4654,"So much respect for how much positivity you put out while going through your jobs I wish you all the best mate!! You deserve it from all,",1
10775,I&#39;m going straight to hell laughing at this 🤣😂🤣,0
3853,"Don't be in a haste to invest know what and who
 you are investing with and be sure that the person
 will deliver before investing",1
2334,Als unabhängiger Mann begann ich meinen ersten Investitionsplan mit nur 1000 $ und verdiene jetzt ein wöchentliches Einkommen von 5000 $ in Kryptowährungsbörsen mit meinem persönlichen Broker,1
2541,"The best thing to learn about crypto is to not do it alone and on your own, when it comes to trading I trust cryptopatreon",1
6223,Ok so can you tell me which kind of milk you used?,0
1451,"Having adequate orientation or knowledge about bitcoin trade or any other crypto currency is a key to a profitable, and a successful Investment",1
4797,Hacker Williams hack another 5BTC inside my blockchakin 3367018362 his service is the best,1
3553,🔼🔼🔼🔼🔝...,1
4367,"Hello, Mrs Victoria Barnes the Bitcoin trader is legit and her method works like magic. I keep on earning every single week with her new strategy.",1
9300,"@Seal 94 💀 funny thing is, this song is so good",0
993,Please check out and send to others Freedom and Justice are on the line!  Please Google:   Steven L. Reed Case Lands in Supreme Court---thanks!,1
14,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1
2593,"Bro, that's not a bullflag, and even if it were, it would not be relevant in the 5 minutes timeframe. However, the lines you just drew, that triangle after a dump, that's a bearflag bro... After a dump it goes up a little, which is the so-called dead-cat-bounce... Bitcoin isn't done yet with its short-term downtrend, and it will retest the levels 30k-28k, hopefully we can hold in that support... But about Shiba, sorry to inform you, we will see a little more dump, being dragged down by bitcoin, before we can see a reversal. I might be wrong, since there's lot of market manipulation, but I strongly advise you to investigate a little more in technical analysis, knowledge is never too much. Try and reach out to (cryptojason42) On 🆃🅴🅻🅴-🅶🆁🅰🅼.",1
5031,"THANKS REALLY APPRECIATE. CORRESPOND TO MY ADMIN. ON W.H.A.-SA-APP. FOR MORE IDEAS
 .+1. 3. 5. 2. 3. 6. 6. 3. 7. 0. 0",1
67,Please help me go here http://www.gofundme.com/littlebrother﻿,1
6641,YOU GOT THIS!!!,1
11331,Tell that to Putin.,0
11171,Dude was scared shitless.,0
496,LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿,1
3699,he helped me recover what I lost trying to trade my self,1
3368,"No one does it better like this genius, *the clant* always does it, wow another 3btc on my wallet 👍 i really appreciate all your efforts sir 🙏",1
7137,I already see results and today is 6th day🥹,0
1802,"June 2022, anyone?",1
11000,"This guy feels himself like a true Tsar or a roman cesar seated in Moscow. An autocrat vested with divine powers to rule. It&#39;s trully frightening to watch. I mean the narcisism at full scale is evident here. However, this is actually something natural for russians: having leaders with iron fist and ruthless hearts. It&#39;s been a constant pattern in their history and I don&#39;t think most russians will ever get tired of being governed in this particular way. Of course, they&#39;re many people from this beautiful country who are not okay with that kind of government and I sincerely hope their numbers will grow.",0
4510,"*I will forever appreciate this investment program, it helped me and my family a lot, your advice and lessons are inspirational helpful to us, I now earn every week. You’re such a blessing to this generation, we all love you*",1
4830,*Ronaldhacks01_ on ||?πsta* got me an active private key ?? software. He can help you,1
8277,Kevin is the best!,0
4931,"That's nice, thanks for replying, you can send a message to my administrator on watsap to earn in crypto especially Bitcoin ...+?..1..?6.1..3..6.0..4..5..7..4..7 He's excellent at what he does, tell him referred you to him. His passionate strategies are top notch the ??????",1
9400,RIHANNA AINT NB PLAYING W YOU DROP SOME MUSIC RIGHT NEOW!!,0
9330,You can tell Dream wrote this when you hear the “Aye Aye Aye” 😂,0
5565,You have to stop making your cat jealous 😭,0
3276,"She's really the best, I've made a lot",1
10014,Bo Cruz!,0
1511,Yes I'm also a living testimony of expert Mrs Hellen Doctrice.,1
9542,Jerry this was your favorite song.  yOU HAVE MY HEART.  Keep shining bright.  Jah Bless.   miss you.,0
6939,Someone can tall me if this workout is good for a triangle bodyshape?💛,0
432,like this comment if your watching in 2015 or 2016﻿,1
8055,There’s such thing as a best of Kevin hart?,0
1612,It's better to have a certified trustworthy account manager trading for you to avoid losses,1
4657,"Sorry for writing you, just out of curiosity your page come up on my suggested friend lists so I was just wondering if I knew you from somewhere?",1
1811,I'm from USA I used to take loans from my bank for survival before but I'm now a creditor not debtor any more,1
9738,"@Stjepan Obradović No, released in March of 2007.",0
1516,The cool thing about new generation defi platforms is that you don't have to deal with the technical part. I can put my BUSD in staking on some WOWswap in a couple of clicks and get over 40% APY,1
5965,Omg I have all the ingredients except the Oreos but it’s okay 👌🏻,0
5142,"T.h.a.n.k.s f.o.r w.a.t.c.h.i.n.g
 F..o.r c.r.y.p.t.O g.u.I.d.a.n.c.e.
 +1...-8...-0...-3...-5...-6...-6...-0...-6...-9...-7.
 W?A?T?S?A?P?##*",1
10685,This just goes to show the real Putin. What a horrible horrible man.,0
10699,Putin: speak plainly as long as it&#39;s what I want to hear. Sergi: I&#39;m 😕 confused Federation good right? Putin: Independents? Sergi: (is that included in federation ? I&#39;m confused.) I&#39;d like Big Mac and fries for last meal comrade.,0
2496,"@Mary Blake I had this experience during the last downturn and thought I had lost everything but thanks to Mr Brian who managed my portfolio, I recovered all my losses.",1
3149,"I'm not here to converse for her but to testify just for what I'm sure of, she is a trustworthy woman and best trader ever seen..........",1
10535,"Time to retire napoleon and call it the Putin complex. Such a small man, in so many ways.",0
3292,i 'm g l a d t o e a r n f r o m r e a l s o u r c e i n v e s t m e n t,1
8162,Maybe it’s better not to eat cereals while watching Kevin Hart 😅,0
7597,"I am going to do this everyday 10 min for nearly 10 days because on 31th August there is a festival 🎉<br>Current body measurements<br>Waist-27-29 inch <br>Chest-33inch<br>Butt-34inch <br>Goal-smaller waist ,11 line abs and wide and bigger booty ,slimmer arms <br>And I am also doing another 2 workout of other youtubers these are janakate fitness booty and  Gabriella whited hip dips I am also doing a arm workout <br>So let&#39;s start <br>Day 1✔️☑️ I completed today it was easy .I am not gonna stop I will stay consistent<br>Day 2 because I got period and busyness  I didn&#39;t do any workout today I hope to do tomorrow<br>Day 3<br>Day 4<br>Day 5<br>Day 6<br>Day 7<br>Day 8<br>Day 9<br>Day 10",0
10284,@Tomeu Llabrés Wow that&#39;s quite impressive. So if they have their best players next year they might win the World cup again,0
8475,<b>me dying</b> kevin hart: &quot; ShE ToLD mE tO tElL YoUUUUuUUU,0
5161,"T.h.a.n.k.s f.o.r w.a.t.c.h.i.n.g
 F..o.r c.r.y.p.t.O g.u.I.d.a.n.c.e.
 +1...-8...-0...-3...-5...-6...-6...-0...-6...-9...-7.
 W?A?T?S?A?P?##*",1
2258,Casen Orlando Last month i grew a total profits of 4.1btc by trading actively with his signals as well…....,1
4661,"Sorry for writing you, just out of curiosity your page come up on my suggested friend lists so I was just wondering if I knew you from somewhere?",1
6294,Awww I hope she enjoys it! :),0
7817,Such a good story teller !!! I was literally in that car 🚗 racing that damn ostrich watching this lol 😂 good 👍,0
576,"hi guys please check out my vids , i will promos to subscribe to you to﻿",1
5045,"THANKS REALLY APPRECIATE. CORRESPOND TO MY ADMIN. ON W.H.A.-SA-APP. FOR MORE IDEAS
 .+1. 3. 5. 2. 3. 6. 6. 3. 7. 0. 0.",1
9131,Rember when David Dobrik and his girlfriend sing a song!,0
10828,The cheese is slipping off the cracker.,0
1832,If you issues with your account dear friend kindly send me a message now,1
9370,@iamashlynn what are you talking about??,0
4902,"Thanks for sharing your comments make a note to my trusted trader , William Charle on Watsapp ap to help you make profit in bitcoin and stock + 1 5 1 7 6 8 4 9 4 8 0 he's strategies are top notch ????",1
622," Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it ",1
4837,I got an active private key to my wallet successfully with the help of *Ronaldhacks01_ on |||πsta* he's a pro...,1
10331,Absolutely fair,0
8859,THOMAS HIRST AND SON FARNBOROUGH.  1617 MERC.,1
6664,"<a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=1m57s"">1:57</a> 50 crunches<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=3m00s"">3:00</a> 65 bicycle crunches<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=4m04s"">4:04</a> 15 per side jack knives<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=5m20s"">5:20</a> 92 russian twists<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=6m24s"">6:24</a> 38 toe taps<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=7m35s"">7:35</a> 15 each side over leg bicycle crunches<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=8m44s"">8:44</a> 96 scissor kicks<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=9m47s"">9:47</a> 34 reverse crunches<br><a href=""https://www.youtube.com/watch?v=5cWxgnJgHHs&amp;t=10m50s"">10:50</a> 90 butterfly kicks",0
7133,Doing this untul school starts so i look good LOL.<br>Day 1:✅ it was pretty hard but its ok. Also im not on a diet but im counting my calories<br>Day 2:✅ felt like IT was too easy so May as well repeat The workout. Yesterday my waist was 64 cm but now its 63 cm,0
1157,Locked and loaded,1
2166,For trading signals how can one reach your trader Roger.,1
8871,The Dream realy write a prefect song for ReRe,0
4478,How do I reach him,1
4097,"👆👆👆 for support, membership and investment advise 🤝🤝",1
4239,I̲'̲m̲ g̲l̲a̲d̲ I̲ c̲o̲m̲e̲ a̲c̲r̲o̲s̲s̲ *h̲y̲p̲e̲r̲t̲e̲c̲h̲2̲2̲* o̲n̲ I̲n̲s̲t̲a̲g̲r̲a̲m̲ w̲h̲o̲ g̲o̲t̲ m̲e̲ a̲c̲c̲e̲s̲s̲ t̲o̲ m̲y̲ f̲u̲n̲d̲s̲ s̲o̲ r̲e̲l̲i̲a̲b̲l̲e̲,1
7518,Doing this to get my dream body before new years !!<br>Goal: My dream body before my birthday (september 13 )<br><br>day 1 :  Very difficult but i will do harder tmr. <br>&quot;August 22 2022&quot;,0
6643,I can&#39;t do it so hard omg 😞💔,0
9387,The best theme😍😍 Who Listening in 2022,0
6092,"That cool all but, can you make a cake without any ingrediants? 🤔",0
3818,Good comments!!🚀for investment guides and consultation send a direct msg right away 👆👆👆,1
2611,"*-🅡🅘🅖🅗🅣 🅟🅔🅡🅢🅞🅝 🅣🅞 🅣🅔🅧🅣-* 🅦🅗🅐🅣'🅢🅐🅟🅟:- +❶""❹""❶""❾""❺""❶""❺""❷""❷""❸""❽",1
9226,This song has a echo in me 💕💕,0
10018,"laugh now, you Schroder CLOWN",0
247,Please check out my acoustic cover channel :) thanks ﻿,1
8631,After 101 times of watching this I hit pause. Then resume after I pissed. 101 more times to go!,0
2517,"I'm glad to see Mr. Charles Schwabbs mentioned here, my spouse recommended him to Me after investing $4000 and he has really helped us financially in times of COVID -19 lockdown here in Australia 🇦🇺",1
8251,Dogs were higher then him ehi old Times coke yesss bit i love non doing the woman,0
5971,@THUG TECH GAMER same,0
1788,She's really amazing I still can't believe someone can be this exceptional when it comes to Bitcoin activities,1
5334,People are scared of investing because of the high rate of scam in the business,1
8610,A almost choked at that scene,0
3652,Anyone who she handles he's or her trade for I believe is so lucky,1
8891,Rihanna was 20 years old here damn,0
1101,love to work with the best plug.,1
7225,day 1 : done<br>Day 2 : done,0
5002,"That's nice, thanks for replying, you can send a message to my administrator on watsap to earn in crypto especially Bitcoin ...+?..1.6.1..3..6.0..4..5..7..4..7 He's excellent at what he does, tell him referred you to him. His passionate strategies are top notch the ??????",1
6837,trying to do this this everyday !! (pls like so i feel motivated to keep going)<br>day 1 ✅: this hurts so much i feel the burn hopefully i can keep going !<br>day 2 ❌: body reallly hurt so I took a break to rest<br>day 3 ✅: It really hurt too and was so tired omg<br>day 4 ✅: a bit easier but still was hard,0
10234,I can&#39;t believe that the worst Spain squad in the last 20 years is in the Final. They always find a way. Congrats to them...,0
3971,This amazing website⬆️⬆️is the real deal.,1
7948,We use to have family orientations,0
3627,"I made huge profits on my investment since I started trading with Mrs Bridget, her trading strategies are top notch coupled with the little commission charges on her trade",1
10761,"There is only one man who can talk putin to stop this madness war. No other than XI JIN PING, I think putin will listen to him",0
3628,I'll recommend Expert mrs Bridget to you. She's the best ive seen. She trades my fx account and makes me good profits 📈 weekly,1
11035,Damn&quot;gulag doesn&#39;t exist anymore&quot;lol,0
4106,"👆👆👆 for support, membership and investment advise 🤝🤝",1
11096,Hey.......say thanks to Americans because all that what will be left from your home is ash and dust because of them...its soo obvious the USA want this war....but hey who can prove that because for them.....if its not on paper then they didn&#39;t do it,0
2782,__ཞɛąƈɧ ơųɬ ɬơ *ɱąƈųʂɧąƈƙʂ ۷ıą ıŋʂɬą* ąŋɖ ɧɛ'ƖƖ ɠɛɬ ყơų ąŋ ąƈɬı۷ɛ ℘ཞı۷ąɬɛ ƙɛყ ʂơʄɬῳąཞɛ..,1
5632,5.chocoloate,0
10641,Woww. Bbc is the biggest propoganda shit ever. Why did they loop the video two times. The orginal video you can find on other playform that dont do propoganda,0
8655,Noted almost everything u said and or repeated,0
7725,"Kevin Hart, funniest guy ever, I love him ❤",0
11301,And from thence on poor oh poor Sergei spoke plainly but not too plainly.,0
2875,👆 THANKS SO SO SO MUCH I'M REALLY REALLY HAPPY APPRECIATE IT MAN,1
3314,"I'm so happy for taking the bold step in working and investing $2000 with Expert Mrs Jeanne Carlos after a week I received $19,680 to my bank",1
4909,*Ronaldhacks01_ on ||?πsta* can help you get a private key,1
4423,"Mutual funds have High Expense Ratios and sales charges, if you're not paying attention to mutual fund expense ratios and sales charges; they can get out of hand.",1
6221,did u put a pan underneath or just a pot?,0
5092,"I,N,V,E,S,T = I,N C,R,Y,P,T,O
 =B,T,C A,N,D = E,T,H
 W,H,A,T,S,A,P,P
 +,1,8,3,2,2,2,4,6,1,2,4_",1
6029,That&#39;s great,0
9510,Is this the cover of tomhollands song?,0
9280,This song and “Clover Cage - Lost Then Found” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 😘,0
7712,ALRIGHT ALRIGHT ALRIGHT 😂😂😂😂😂,0
120,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
2928,"It's strange how people talk about all the profits, they've been making through trading of bitcoin, while am here not making any profit at all. Please can Someone put me through on the right path or at least tell me what I'm doing wrong?",1
9436,This is the Umbrella Corp. anthem,0
4023,Got mine fixed through the name above 👆👆,1
5542,And cats should never eat chocolate it can make them sick !,0
5486,Coollll man,0
6145,"I&#39;ve tried it..it was so yummy..but there were a prblm it was little bit hard,crispy frm its sides...please guide about it<br>Thank you",0
4340,"Nothing really is impossible to do I believe that now, I thought my coins were gone for good when I lost my private key but thanks to Mr movark I can now trade my coin..",1
142,If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,1
6331,Question: do I get Diabetes if i make this cake?,0
5411,I have make alot of bitcoin with the help of the best Miner SPYHACKIFY who have generate so much for me and it really make me amaze and that is why am grateful forever and ever to them.,1
9637,"This song was one of the HARDEST songs made. Let me tell you what I mean. The beat is bangin, Rihanna&#39;s style of singing it sounds very good and so does her voice, but this song HAS POWER!  Let me say this first, I don&#39;t like to sound like I&#39;m judging I&#39;m just expressing myself.  Rihanna is a very beautiful woman and looks great, but this song is DECEPTIVE. Every time she says ella ella eh eh eh.....and you&#39;re listening to it over and over again also reciting lyrics you may be conjuring up something. When I was at a Trey Songz and Neyo concert at the Hard Rock Cafe in Cleveland this song came on before the show started. Everybody was having a good time and when the ella ella eh eh eh part came on EVERYBODY was chanting it and it sounded eerie.  I haven&#39;t listened or watched this video in so many years and will NEVER listen again. We Can Not BLAME music for all of our issues because we are suppose to hold RESPONSIBILITY for OUR OWN ACTIONS, but when I listened to MY BROTHERS Bone Thugs N Harmony......there was a song that REPEATED MURDER over and  over and over again throughout the entire song (Mo Murda).  It&#39;s like they were chanting. They were my and a lot of our favorite rap group back in the day. A lot of their music videos had bones, fire and death looking images. Look at The Art Of War album cover it looks like satan on it. We were in our middle teens and were DECEIVED as YOUNG BLACK MEN with or without father&#39;s and fed GARBAGE. Yes, It sounds good but it&#39;s WITCHCRAFT and IDOLATRY. Snoop Dogg was the image for St. Ides and poster&#39;s were in ALL of the stores in the BLACK COMMUNITIES but NOT in the WHITE!!!! It wasn&#39;t just my crew and both my brother&#39;s crews, it was EVERYBODY.  St. Ides is one of the most POISONOUS beers on the market with a high alcohol content so why did HE AGREE TO BE THE &quot;DOGG&quot; MASCOT!!  In the Black communities we already felt a sense of having to be INDEPENDENT and separate from other communities always being judged and ostracized so it felt good seeing images such ad Sean Combs, Michael Jackson, Snoop, Dre, Jay Z, Nas and soooooo many ADMIRABLE Black people.  It subconsciously helped to give us a sense of pride seeing soooooooo many BLACK images on the television and radio in EVERY ARENA of life. I loved Jay Z! I looked up to &quot;PUFF DADDY&quot; he was main guy!!! I remember taking up for Beyonce standing at bus stop in Cleveland because I really LOVED her when they first came out also attended a concert. WHY WOULD THEY WANT TO HELP TO DESTROY!!!!!   IT&#39;S HURTFUL......OUR COMMUNITIES ARE DYING AND WE REALLY NEED THEM DESPERATELY TO STOP!!!!!  The images in this video are satanic no matter how much they try to hide all of the symbolism&#39;s. Jay Z was one of my favorite brothers. If I had $1,000,000 I would do more than ALL of the BLACK athletes/rapper&#39;s/actor&#39;s/actresses/singers/etc. have ever done by myself than ALL OF THEM HAVE DONE COMBINED!!!  Signed Traveil Armund Sims",0
6309,Other bakers: crush the cookies and put it in a bowl.<br>Mine&#39;s home: After ABUSING the cookies put it in a bowl,0
2162,Starlink saved hundreds of Ukrainian soldiers and helped thousands of civilians,1
11413,@Ben Sims You can&#39;t talk back to the commander in chief lol what&#39;s wrong with you,0
5999,"This might be a very random comment, but this guy has very beautiful hands",0
3068,I have heard a lot about miss Elizabeth she must be really good at what she does to receive so much accolade,1
3691,"Shabs Fazl is legit , I’m a living testimony, I’ve been trading with her for some months now without issues. I haven't seen or heard any of her investors complain of her service. I recommend her",1
8325,Eating ass face<br><br>🤣🤣🤣🤣🤣🤣🤣🤣<br><br>I&#39;ve only watched this 100 ish times but I still can&#39;t watch that part without crying,0
2705,@kerien stones yes i have also been on his telegrm for a while now cause I need a trusted broker with experience and i have found that in Mr ramirez opsina,1
6479,WowNice,0
933,&quot;HELP THE HUMANITY WITH YOUR SIGN IN TO THIS LINK WITH YOUR WHOLEHEARTED SUPPORT IF YOU SAY &quot;NO&quot; TO DISCRIMINATION. “UNITED WE STAND “  WE WILL BRING THE CHANGE TOGETHER.  IMPOSSIBLE ITSELF SAYS I  M  POSSIBLE&quot;  YOU ARE THE WINNERS OF MY SUCCESS!CHEERS TO ALL MY LOVING BROTHERS AND SISTERS !  PLEASE SHARE THIS LINK ON FACEBOOK TO SUPPORT AGAINST DISCRIMINATION.  tinyurl(dot)com(slash)mxh2y77  FEAR NONE BUT GOD !!!,1
10959,"Whatever you say, I approve! I don&#39;t want to end up like Nikolai Yezhov!",0
5559,Looking so tasty 😋,0
512,Check out this video on YouTube:﻿,1
3516,♂️♂️♂️ HE'S THE BESTEST...,1
1875,"Thanks for sharing this with others here. I watch all of those crypto channels and with the exception of Paulson Dmitriev, I've realized their analysis amounts to 'if it goes down then it will go down more, if it goes up it will go up more.' that way they can claim they called every move.",1
9643,802 megaViews <br>It’s just out of this world…,0
5822,I have made this and decided it&#39;s bad.  How 2 reduce the value of oreos in 2 hours or less.,0
359,HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿,1
9844,Will Serge Ibaka still play for Spain?,0
2548,@Claudia Jones I hear about him all time I need to check it out is he really that good ?,1
4881,"Thanks for sharing your comments make a note to my trusted trader , William Charle on Watsapp ap to help you make profit in bitcoin and stock + 1 5 1 7 6 8 4 9 4 8 0 he's strategies are top notch ????",1
4712,"Thanks for watching ☝️🏿
 For mentorship and information 
 Message me directly 📥📥..",1
209,"Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIAN﻿",1
3139,"She is obviously the best, I invested $3,000 
 and she made me profit of $28,000 for me 
 just in 7days",1
6285,"i&#39;m sorry, but how is this funny..",0
5605,But where is the icing recipe <br>I just saw icing fall on the cake out of no where 😭,0
10325,"Spain is a basketball land. Now the favourite rival for Spain for a decade, la France. Oh la la, here we go, France.",0
10200,European basketball is more about &quot;team players&quot; that individual one,0
10647,"You always tell Pootin what he wants to here...<br><br>Pootin: Can we invade Ukraine?<br>Sergei: Yes.<br>Pootin: Will it be a quick victory?<br>Sergei: Of course.<br>Pootin: What about the West. Will they interfere?<br>Sergei: Well, I don&#39;t think so...<br>Pootin: Speak plainly. Yes or No.<br>Sergei: No. They will not interfere.<br>Pootin: Thank you. You my sit down. Based on Sergei&#39;s intelligence, we will proceed with the &quot;operation&quot;.",0
3160,@Claus Elsborg Please how do i get to him ??,1
11102,Bustard putin...we hate putin,0
5792,Didn&#39;t this video have 1m likes???,0
7998,Kevin always the same guys😂😂😍,0
10737,"Putin: I’m telling you what your saying isn’t what you you want to say, Sergei gonna miss the next meeting maybe every meeting ever",0
9971,Wonder too how international soccer would be without naturalized players.,0
1102,love to work with the best plug.,1
9161,Inside a mystical labyrinth Inside our memories kept Inside a chest...,0
5491,"This is the first time i came to this channel, i thought this was a korean yt channel.. your cat is so cute~ and i was surprised cause u wear that big head to cover urself 😂 also, you&#39;re a man but better at cooking than me as a girl lmao",0
3021,I invested with this guys platform and I made a lot of interest. I saw someone else talked about him on another video,1
6198,Wow very good .I Like,0
352,Check out this video on YouTube:﻿,1
7669,I just realized that he made the meme help me sound 😂,0
2947,"She amazing with her trade profits , and with her trading platform",1
2521,"what a profitable website 🔝🔝, we all appreciate you",1
8894,1st year highschool ako nun haha,0
6926,Doing this everyday for 10 days!!<br>Starting a day before school hecauee I haven&#39;t had motivation !!<br><br>💗Day 1 - had to take a few breaks but felt the burn!!<br><br>💗Day 2 -i didn&#39;t take as many breaks and it did burn a little more but I&#39;m already seeing a little shape coming I might do this fir a month or so to really lose all my belly fat also im drinking 4 bottles or 750ml a day now so it will help!!<br><br>💗Day 3 -i only took 3 breaks omfgg I also didn&#39;t feel much burn but it burnt a little bit and my skirt for school is getting really baggy on me and my mum even noticed and said I lost weight and I haven&#39;t told her about this but yeah and I have been on same kinda diet changed a little and I see changing already!!<br><br>💗Day 4- I&#39;m seeing results so fats omggg I see my wait coming in my thighs coming in and stomach and I told like 2 breaks and pushed myself alot today and it didn&#39;t burn much to be honest!!<br><br>💗Day 5 - feeling unmotivated rn bit im still going I havebt seen any results so I might do this fir as long as I want to get a hour glass and a flat stomach but yeah burned not much today and yeah!!<br><br>💗Day 6- I didn&#39;t take any breaks!! I only see shape when I suck in tbh but j still see shapes coming i think it will take longer than 10 days tbh<br><br>💗Day 7- finally a week gone seen some weight lost couldn&#39;t do today but doing double for day 8<br><br>💗Day 8- did it my bsf today and it was mroe fun I did each workout twice since I didnt dj it yesterday inseen results I think I might just do this till new years<br><br>💗Day 9- im so proud of myself tbh I have lost alot of weight but gained a little :((( didnt take any breaks today!!!! So after day 10 imma do it with also a 5 minutes flat stomach workout<br><br>💗Day 10- OMGGHG IM SO HAPPY I have seen very little result becsuee I am a little bit fat but imm dk a flat stomach workout now for a week then come back to this and try again for more results defk recommend !!,0
1990,"Thank you so much I t e c h h a c k e r s c o m, I paid all my bills now and have enough for my family upkeep",1
